"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Wagga Wagga, Australia","https://en.wikipedia.org/wiki/Richie_Arnold","Richie Arnold","Lock","(1990-07-01)1 July 1990 (aged 33)",5,NA,"Australia","Toulouse","Australia",-35.115,147.3677778
"Australia","https://en.wikipedia.org/wiki/Nick_Frost_(rugby_union)","Nick Frost","Lock","(1999-10-10)10 October 1999 (aged 23)",12,NA,"Australia","ACT Brumbies","Australia",-24.7761086,134.755
"Mona Vale, Australia","https://en.wikipedia.org/wiki/Matt_Philip","Matt Philip","Lock","(1994-03-07)7 March 1994 (aged 29)",29,NA,"Australia","Melbourne Rebels","Australia",-33.6769931,151.3029577
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Will_Skelton","Will Skelton (c)","Lock","(1992-05-03)3 May 1992 (aged 31)",29,NA,"Australia","La Rochelle","New Zealand",-36.5412811,174.550610491441
"Australia","https://en.wikipedia.org/wiki/Langi_Gleeson","Langi Gleeson","Back row","(2001-07-21)21 July 2001 (aged 22)",4,NA,"Australia","NSW Waratahs","Australia",-24.7761086,134.755
"Australia","https://en.wikipedia.org/wiki/Tom_Hooper_(rugby_union)","Tom Hooper","Back row","(2002-01-01)1 January 2002 (aged 21)",4,NA,"Australia","ACT Brumbies","Australia",-24.7761086,134.755
"Australia","https://en.wikipedia.org/wiki/Josh_Kemeny","Josh Kemeny","Back row","(1998-11-29)29 November 1998 (aged 24)",1,NA,"Australia","Melbourne Rebels","Australia",-24.7761086,134.755
"Preston, Victoria, Australia","https://en.wikipedia.org/wiki/Rob_Leota","Rob Leota","Back row","(1997-03-03)3 March 1997 (aged 26)",17,NA,"Australia","Melbourne Rebels","Australia",-37.72140035,145.009989357087
"Buderim, Queensland, Australia","https://en.wikipedia.org/wiki/Fraser_McReight","Fraser McReight","Back row","(1999-02-19)19 February 1999 (aged 24)",13,NA,"Australia","Queensland Reds","Australia",-26.6879355,153.068562401911
"Melbourne, Victoria, Australia","https://en.wikipedia.org/wiki/Rob_Valetini","Rob Valetini","Back row","(1998-09-03)3 September 1998 (aged 25)",35,NA,"Australia","ACT Brumbies","Australia",-37.8142454,144.9631732
"Sydney, Australia","https://en.wikipedia.org/wiki/Issak_Fines-Leleiwasa","Issak Fines-Leleiwasa","Scrum-half","(1995-10-02)2 October 1995 (aged 27)",1,NA,"Australia","Western Force","Australia",-33.8698439,151.2082848
"Bundaberg, Queensland, Australia","https://en.wikipedia.org/wiki/Tate_McDermott","Tate McDermott (c)","Scrum-half","(1998-09-18)18 September 1998 (aged 24)",26,NA,"Australia","Queensland Reds","Australia",-24.8653253,152.3516785
"Scone, New South Wales, Australia","https://en.wikipedia.org/wiki/Nic_White","Nic White","Scrum-half","(1990-06-13)13 June 1990 (aged 33)",63,NA,"Australia","ACT Brumbies","Australia",-32.0501476,150.8683802
"Nambour, Queensland, Australia","https://en.wikipedia.org/wiki/Carter_Gordon","Carter Gordon","Fly-half","(2001-01-29)29 January 2001 (aged 22)",5,NA,"Australia","Melbourne Rebels","Australia",-26.6257326,152.959953
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Ben_Donaldson_(rugby_union)","Ben Donaldson","Fly-half","(1999-04-05)5 April 1999 (aged 24)",3,NA,"Australia","NSW Waratahs","Australia",-33.8698439,151.2082848
"Hamilton, New Zealand","https://en.wikipedia.org/wiki/Lalakai_Foketi","Lalakai Foketi","Centre","(1994-12-22)22 December 1994 (aged 28)",6,NA,"Australia","NSW Waratahs","New Zealand",-37.7878809,175.281788
"Viseisei, Fiji","https://en.wikipedia.org/wiki/Samu_Kerevi","Samu Kerevi","Centre","(1993-09-27)27 September 1993 (aged 29)",45,NA,"Australia","Tokyo Sungoliath","Fiji",-17.6926075,177.4166642
"Brisbane, Australia","https://en.wikipedia.org/wiki/Izaia_Perese","Izaia Perese","Centre","(1997-05-17)17 May 1997 (aged 26)",5,NA,"Australia","NSW Waratahs","Australia",-27.4689682,153.0234991
"Melbourne, Victoria, Australia","https://en.wikipedia.org/wiki/Jordan_Petaia","Jordan Petaia","Centre","(2000-03-14)14 March 2000 (aged 23)",28,NA,"Australia","Queensland Reds","Australia",-37.8142454,144.9631732
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Max_Jorgensen","Max Jorgensen","Wing","(2004-09-02)2 September 2004 (aged 19)",0,NA,"Australia","NSW Waratahs","Australia",-33.8698439,151.2082848
"Naraiyawa, Fiji","https://en.wikipedia.org/wiki/Marika_Koroibete","Marika Koroibete","Wing","(1992-07-26)26 July 1992 (aged 31)",55,NA,"Australia","Saitama Wild Knights","Fiji",-17.96294,178.06857
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Mark_Nawaqanitawase","Mark Nawaqanitawase","Wing","(2000-09-11)11 September 2000 (aged 22)",7,NA,"Australia","NSW Waratahs","Australia",-33.8698439,151.2082848
"Suva, Fiji","https://en.wikipedia.org/wiki/Suliasi_Vunivalu","Suliasi Vunivalu","Wing","(1995-11-27)27 November 1995 (aged 27)",3,NA,"Australia","Queensland Reds","Fiji",-18.1415884,178.4421662
"Sydney, New South Wales, Australia","https://en.wikipedia.org/wiki/Andrew_Kellaway_(rugby_union)","Andrew Kellaway","Fullback","(1995-10-12)12 October 1995 (aged 27)",24,NA,"Australia","Melbourne Rebels","Australia",-33.8698439,151.2082848
"Ono-i-Lau, Fiji","https://en.wikipedia.org/wiki/Tevita_Ikanivere","Tevita Ikanivere","Hooker","(1999-09-06)6 September 1999 (aged 24)",8,NA,"Fiji","Fijian Drua","Fiji",-20.63784955,-178.715765692315
"Truro, England","https://en.wikipedia.org/wiki/Sam_Matavesi","Sam Matavesi","Hooker","(1992-01-13)13 January 1992 (aged 31)",26,NA,"Fiji","Northampton Saints","England",50.2633173,-5.0518107
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Zuriel_Togiatama","Zuriel Togiatama","Hooker","(1999-02-03)3 February 1999 (aged 24)",3,NA,"Fiji","Fijian Drua","New Zealand",-36.5412811,174.550610491441
"Colonial War Memorial Hospital,Suva, Fiji","https://en.wikipedia.org/wiki/Mesake_Doge","Mesake Doge","Prop","(1993-04-01)1 April 1993 (aged 30)",10,NA,"Fiji","Fijian Drua","Fiji",-18.13475605,178.434145365617
"Nadroga-Navosa, Fiji","https://en.wikipedia.org/wiki/Jone_Koroiduadua","Jone Koroiduadua","Prop","(1997-02-27)27 February 1997 (aged 26)",2,NA,"Fiji","Fijian Drua","Fiji",-18.45851905,177.547528963774
"Tovu, Fiji","https://en.wikipedia.org/wiki/Eroni_Mawi","Eroni Mawi","Prop","(1996-06-02)2 June 1996 (aged 27)",25,NA,"Fiji","Saracens","Fiji",-18.9570462,-179.8201538
"Verata, Fiji","https://en.wikipedia.org/wiki/Peni_Ravai","Peni Ravai","Prop","(1990-06-16)16 June 1990 (aged 33)",39,NA,"Fiji","Queensland Reds","Fiji",-18.1485315,178.4384131
"Gau Island, Fiji","https://en.wikipedia.org/wiki/Luke_Tagi","Luke Tagi","Prop","(1997-06-23)23 June 1997 (aged 26)",9,NA,"Fiji","Bayonne","Fiji",-18.02797625,179.312242050486
"Levuka, Fiji","https://en.wikipedia.org/wiki/Samu_Tawake","Samu Tawake","Prop","(1996-09-11)11 September 1996 (aged 26)",2,NA,"Fiji","Fijian Drua","Fiji",-17.68069,178.8334
"Te Araroa, New Zealand","https://en.wikipedia.org/wiki/Te_Ahiwaru_Cirikidaveta","Te Ahiwaru Cirikidaveta","Lock","(1998-04-12)12 April 1998 (aged 25)",5,NA,"Fiji","Fijian Drua","New Zealand",-37.6330949,178.3610171
"Fiji","https://en.wikipedia.org/wiki/Temo_Mayanavanua","Temo Mayanavanua","Lock","(1997-11-09)9 November 1997 (aged 25)",11,NA,"Fiji","Northampton Saints","Fiji",-18.1239696,179.0122737
"Campbelltown, Sydney, Australia","https://en.wikipedia.org/wiki/Isoa_Nasilasila","Isoa Nasilasila","Lock","(1999-09-13)13 September 1999 (aged 23)",7,NA,"Fiji","Fijian Drua","Australia",-34.0636914,150.8206159
"Ba, Fiji","https://en.wikipedia.org/wiki/Lekima_Tagitagivalu","Lekima Tagitagivalu","Lock","(1995-12-04)4 December 1995 (aged 27)",3,NA,"Fiji","Pau","Fiji",-17.5457103,177.6840732
"Naitasiri, Fiji","https://en.wikipedia.org/wiki/Levani_Botia","Levani Botia","Back row","(1989-03-14)14 March 1989 (aged 34)",24,NA,"Fiji","La Rochelle","Fiji",-17.85457855,178.19212292756
"Nadi, Fiji","https://en.wikipedia.org/wiki/Meli_Derenalagi","Meli Derenalagi","Back row","(1998-11-26)26 November 1998 (aged 24)",3,NA,"Fiji","Fijian Drua","Fiji",-17.7992725,177.4178549
"Nakelo, Tailevu, Fiji","https://en.wikipedia.org/wiki/Viliame_Mata","Viliame Mata","Back row","(1991-10-22)22 October 1991 (aged 31)",26,NA,"Fiji","Edinburgh","Fiji",-18.0571371,178.5951656
"Vanua Levu, Fiji","https://en.wikipedia.org/wiki/Vilive_Miramira","Vilive Miramira","Back row","(1999-03-21)21 March 1999 (aged 24)",1,NA,"Fiji","Fijian Drua","Fiji",-16.5788332,179.193092724692
"Kadavu Island, Fiji","https://en.wikipedia.org/wiki/Albert_Tuisue","Albert Tuisue","Back row","(1993-06-06)6 June 1993 (aged 30)",19,NA,"Fiji","Gloucester","Fiji",-19.04799405,178.362937702394
"Kadavu, Fiji","https://en.wikipedia.org/wiki/Simione_Kuruvoli_(rugby_union)","Simione Kuruvoli","Scrum-half","(1999-01-02)2 January 1999 (aged 24)",7,NA,"Fiji","Fijian Drua","Fiji",-19.04799405,178.362937702394
"Bua, Fiji","https://en.wikipedia.org/wiki/Frank_Lomani","Frank Lomani","Scrum-half","(1996-04-18)18 April 1996 (aged 27)",26,NA,"Fiji","Fijian Drua","Fiji",-16.6257985,178.477432975
"Ra, Fiji","https://en.wikipedia.org/wiki/Ratu_Peni_Matawalu","Ratu Peni Matawalu","Scrum-half","(1997-07-08)8 July 1997 (aged 26)",5,NA,"Fiji","Fijian Drua","Fiji",-17.4414503,178.240331291325
"Huntly, New Zealand","https://en.wikipedia.org/wiki/Caleb_Muntz","Caleb Muntz","Fly-half","(1999-10-30)30 October 1999 (aged 23)",4,NA,"Fiji","Fijian Drua","New Zealand",-37.5606311,175.1599758
"Levuka, Ovalau, Fiji","https://en.wikipedia.org/wiki/Teti_Tela","Teti Tela","Fly-half","(1991-03-07)7 March 1991 (aged 32)",6,NA,"Fiji","Fijian Drua","Fiji",-17.68069,178.8334
NA,"https://en.wikipedia.org/wiki/Vilimoni_Botitu","Vilimoni Botitu","Centre","(1998-06-15)15 June 1998 (aged 25)",8,NA,"Fiji","Castres",NA,NA,NA
"Fiji","https://en.wikipedia.org/wiki/Sireli_Maqala","Sireli Maqala","Centre","(2000-03-21)21 March 2000 (aged 23)",4,NA,"Fiji","Bayonne","Fiji",-18.1239696,179.0122737
NA,"https://en.wikipedia.org/wiki/Iosefo_Masi","Iosefo Masi","Centre","(1998-05-09)9 May 1998 (aged 25)",2,NA,"Fiji","Fijian Drua",NA,NA,NA
"Navua, Fiji","https://en.wikipedia.org/wiki/Waisea_Nayacalevu","Waisea Nayacalevu (c)","Centre","(1990-06-26)26 June 1990 (aged 33)",39,NA,"Fiji","Toulon","Fiji",-18.2265812,178.1644067
"Suva, Fiji","https://en.wikipedia.org/wiki/Semi_Radradra","Semi Radradra","Centre","(1992-06-13)13 June 1992 (aged 31)",15,NA,"Fiji","Lyon","Fiji",-18.1415884,178.4421662
"Votua, Ba, Fiji","https://en.wikipedia.org/wiki/Josua_Tuisova","Josua Tuisova","Centre","(1994-02-04)4 February 1994 (aged 29)",19,NA,"Fiji","Racing 92","Fiji",-17.4902881,177.6652333
"Nadroga-Navosa, Fiji","https://en.wikipedia.org/wiki/Vinaya_Habosi","Vinaya Habosi","Wing","(2000-01-30)30 January 2000 (aged 23)",6,NA,"Fiji","Racing 92","Fiji",-18.45851905,177.547528963774
"Nadroga-Navosa, Fiji","https://en.wikipedia.org/wiki/Kalaveti_Ravouvou","Kalaveti Ravouvou","Wing","(1998-06-06)6 June 1998 (aged 25)",6,NA,"Fiji","Bristol Bears","Fiji",-18.45851905,177.547528963774
"Taveuni, Fiji","https://en.wikipedia.org/wiki/Selestino_Ravutaumada","Selestino Ravutaumada","Wing","(2000-01-17)17 January 2000 (aged 23)",4,NA,"Fiji","Fijian Drua","Fiji",-16.8261493,-179.9354607
"Suva, Fiji","https://en.wikipedia.org/wiki/Jiuta_Wainiqolo","Jiuta Wainiqolo","Wing","(1999-03-10)10 March 1999 (aged 24)",4,NA,"Fiji","Toulon","Fiji",-18.1415884,178.4421662
"Fiji","https://en.wikipedia.org/wiki/Ilaisa_Droasese","Ilaisa Droasese","Fullback","(1999-09-13)13 September 1999 (aged 23)",4,NA,"Fiji","Fijian Drua","Fiji",-18.1239696,179.0122737
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Shalva_Mamukashvili","Shalva Mamukashvili","Hooker","(1990-10-02)2 October 1990 (aged 32)",100,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Luka_Nioradze","Luka Nioradze","Hooker","(1999-04-06)6 April 1999 (aged 24)",1,NA,"Georgia","Aurillac","Georgia",41.6934591,44.8014495
NA,"https://en.wikipedia.org/w/index.php?title=Tengiz_Zamtaradze&action=edit&redlink=1","Tengiz Zamtaradze","Hooker","(1998-01-02)2 January 1998 (aged 25)",4,NA,"Georgia","Black Lion",NA,NA,NA
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Nika_Abuladze","Nika Abuladze","Prop","(1995-08-20)20 August 1995 (aged 28)",12,NA,"Georgia","Exeter Chiefs","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Beka_Gigashvili","Beka Gigashvili","Prop","(1992-02-17)17 February 1992 (aged 31)",36,NA,"Georgia","Toulon","Georgia",41.6934591,44.8014495
"Khashuri, Georgia","https://en.wikipedia.org/wiki/Guram_Gogichashvili","Guram Gogichashvili","Prop","(1998-09-04)4 September 1998 (aged 25)",39,NA,"Georgia","Racing 92","Georgia",41.9972652,43.5989395
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Luka_Japaridze","Luka Japaridze","Prop","(1998-09-06)6 September 1998 (aged 25)",8,NA,"Georgia","Montpellier","Georgia",41.6934591,44.8014495
"Kutaisi, Georgia","https://en.wikipedia.org/wiki/Mikheil_Nariashvili","Mikheil Nariashvili","Prop","(1990-05-25)25 May 1990 (aged 33)",73,NA,"Georgia","Black Lion","Georgia",42.2588629,42.6629919654345
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Guram_Papidze","Guram Papidze","Prop","(1997-06-16)16 June 1997 (aged 26)",12,NA,"Georgia","Pau","Georgia",41.6934591,44.8014495
"Georgia","https://en.wikipedia.org/wiki/Lado_Chachanidze","Lado Chachanidze","Lock","(2000-05-14)14 May 2000 (aged 23)",13,NA,"Georgia","Nevers","Georgia",41.6809707,44.0287382
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Nodar_Cheishvili","Nodar Cheishvili","Lock","(1990-11-13)13 November 1990 (aged 32)",48,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Lasha_Jaiani","Lasha Jaiani","Lock","(1998-04-21)21 April 1998 (aged 25)",19,NA,"Georgia","Nevers","Georgia",41.6934591,44.8014495
"Sokhumi, Georgia","https://en.wikipedia.org/wiki/Konstantin_Mikautadze","Konstantin Mikautadze","Lock","(1991-07-01)1 July 1991 (aged 32)",84,NA,"Georgia","Bayonne","Georgia",43.0034307,41.0025595242907
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Mikheil_Gachechiladze","Mikheil Gachechiladze","Back row","(1990-12-24)24 December 1990 (aged 32)",21,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Beka_Gorgadze","Beka Gorgadze","Back row","(1996-02-08)8 February 1996 (aged 27)",40,NA,"Georgia","Pau","Georgia",41.6934591,44.8014495
"Georgia","https://en.wikipedia.org/wiki/Luka_Ivanishvili","Luka Ivanishvili","Back row","(2001-11-25)25 November 2001 (aged 21)",7,NA,"Georgia","Black Lion","Georgia",41.6809707,44.0287382
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Tornike_Jalaghonia","Tornike Jalaghonia","Back row","(1998-12-12)12 December 1998 (aged 24)",24,NA,"Georgia","Biarritz","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Beka_Saghinadze","Beka Saghinadze","Back row","(1998-10-29)29 October 1998 (aged 24)",36,NA,"Georgia","Lyon","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Giorgi_Tsutskiridze","Giorgi Tsutskiridze","Back row","(1996-11-26)26 November 1996 (aged 26)",31,NA,"Georgia","Stade Français","Georgia",41.6934591,44.8014495
"Bolnisi, Georgia","https://en.wikipedia.org/wiki/Gela_Aprasidze","Gela Aprasidze","Scrum-half","(1998-01-14)14 January 1998 (aged 25)",48,NA,"Georgia","Bayonne","Georgia",41.4493333,44.5369461
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Vasil_Lobzhanidze","Vasil Lobzhanidze","Scrum-half","(1996-10-14)14 October 1996 (aged 26)",78,NA,"Georgia","Brive","Georgia",41.6934591,44.8014495
NA,"https://en.wikipedia.org/w/index.php?title=Tengiz_Peranidze&action=edit&redlink=1","Tengiz Peranidze","Scrum-half","(1998-04-06)6 April 1998 (aged 25)",1,NA,"Georgia","Black Lion",NA,NA,NA
"Kutaisi, Georgia","https://en.wikipedia.org/wiki/Tedo_Abzhandadze","Tedo Abzhandadze","Fly-half","(1999-06-13)13 June 1999 (aged 24)",43,NA,"Georgia","Montauban","Georgia",42.2588629,42.6629919654345
"Georgia","https://en.wikipedia.org/wiki/Luka_Matkava","Luka Matkava","Fly-half","(2001-10-05)5 October 2001 (aged 21)",10,NA,"Georgia","Black Lion","Georgia",41.6809707,44.0287382
"Georgia","https://en.wikipedia.org/wiki/Tornike_Kakhoidze","Tornike Kakhoidze","Centre","(2003-08-16)16 August 2003 (aged 20)",3,NA,"Georgia","Black Lion","Georgia",41.6809707,44.0287382
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Giorgi_Kveseladze","Giorgi Kveseladze","Centre","(1997-11-11)11 November 1997 (aged 25)",48,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Moscow, Russia","https://en.wikipedia.org/wiki/Merab_Sharikadze","Merab Sharikadze (c)","Centre","(1993-05-17)17 May 1993 (aged 30)",96,NA,"Georgia","Black Lion","Russia",55.625578,37.6063916
"Kutaisi, Georgia","https://en.wikipedia.org/wiki/Demur_Tapladze","Demur Tapladze","Centre","(2000-03-18)18 March 2000 (aged 23)",28,NA,"Georgia","Black Lion","Georgia",42.2588629,42.6629919654345
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Mirian_Modebadze","Mirian Modebadze","Wing","(1997-10-27)27 October 1997 (aged 25)",25,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Aka_Tabutsadze","Aka Tabutsadze","Wing","(1997-08-19)19 August 1997 (aged 26)",31,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Alexander_Todua","Alexander Todua","Wing","(1987-11-02)2 November 1987 (aged 35)",108,NA,"Georgia","Black Lion","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Lasha_Khmaladze","Lasha Khmaladze","Fullback","(1988-01-20)20 January 1988 (aged 35)",96,NA,"Georgia","RC Batumi","Georgia",41.6934591,44.8014495
"Tbilisi, Georgia","https://en.wikipedia.org/wiki/Davit_Niniashvili","Davit Niniashvili","Fullback","(2002-07-14)14 July 2002 (aged 21)",23,NA,"Georgia","Lyon","Georgia",41.6934591,44.8014495
"Pyrénées-Atlantiques, France","https://en.wikipedia.org/wiki/Lionel_Campergue","Lionel Campergue","Hooker","(1987-11-24)24 November 1987 (aged 35)",21,NA,"Portugal","Bassin d'Arcachon","France",43.18718655,-0.728247400084667
NA,"https://en.wikipedia.org/w/index.php?title=Duarte_Diniz&action=edit&redlink=1","Duarte Diniz","Hooker","(1995-11-08)8 November 1995 (aged 27)",35,NA,"Portugal","Direito",NA,NA,NA
"Massy, France","https://en.wikipedia.org/wiki/Mike_Tadjer","Mike Tadjer","Hooker","(1989-03-10)10 March 1989 (aged 34)",32,NA,"Portugal","Perpignan","France",49.6902106,1.399492
"Oyonnax, France","https://en.wikipedia.org/wiki/Anthony_Alves","Anthony Alves","Prop","(1989-06-23)23 June 1989 (aged 34)",31,NA,"Portugal","Mont-de-Marsan","France",46.2575174,5.6556181
NA,"https://en.wikipedia.org/w/index.php?title=Francisco_Bruno&action=edit&redlink=1","Francisco Bruno","Prop","(1995-05-28)28 May 1995 (aged 28)",24,NA,"Portugal","Direito",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=David_Costa_(rugby_union)&action=edit&redlink=1","David Costa","Prop","(1999-07-05)5 July 1999 (aged 24)",25,NA,"Portugal","Direito",NA,NA,NA
NA,"https://en.wikipedia.org/wiki/Francisco_Fernandes","Francisco Fernandes","Prop","(1985-09-06)6 September 1985 (aged 38)",44,NA,"Portugal","Béziers",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Diogo_Hasse_Ferreira_(rugby_union)&action=edit&redlink=1","Diogo Hasse Ferreira","Prop","(1996-10-17)17 October 1996 (aged 26)",37,NA,"Portugal","Dax",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Ant%C3%B3nio_Machado_Santos_(rugby_union)&action=edit&redlink=1","António Machado Santos","Prop","(1998-06-09)9 June 1998 (aged 25)",2,NA,"Portugal","Belenenses",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Martim_Bello&action=edit&redlink=1","Martim Bello","Lock","(2000-09-27)27 September 2000 (aged 22)",6,NA,"Portugal","Cascais",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Steevy_Cerqueira&action=edit&redlink=1","Steevy Cerqueira","Lock","(1993-08-09)9 August 1993 (aged 30)",12,NA,"Portugal","Chambéry",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Jos%C3%A9_Madeira&action=edit&redlink=1","José Madeira","Lock","(2001-03-19)19 March 2001 (aged 22)",32,NA,"Portugal","Grenoble",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Duarte_Torgal&action=edit&redlink=1","Duarte Torgal","Lock","(1997-12-23)23 December 1997 (aged 25)",19,NA,"Portugal","Direito",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Thibault_de_Freitas&action=edit&redlink=1","Thibault de Freitas","Back row","(1992-01-08)8 January 1992 (aged 31)",31,NA,"Portugal","Floirac",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Jo%C3%A3o_Granate&action=edit&redlink=1","João Granate","Back row","(1997-02-21)21 February 1997 (aged 26)",31,NA,"Portugal","Direito",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Nicolas_Martins&action=edit&redlink=1","Nicolas Martins","Back row","(1999-01-18)18 January 1999 (aged 24)",8,NA,"Portugal","Soyaux Angoulême",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Manuel_Pic%C3%A3o&action=edit&redlink=1","Manuel Picão","Back row","(1997-04-10)10 April 1997 (aged 26)",21,NA,"Portugal","Direito",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Rafael_Sim%C3%B5es&action=edit&redlink=1","Rafael Simões","Back row","(1991-06-20)20 June 1991 (aged 32)",27,NA,"Portugal","CDUL",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=David_Wallis&action=edit&redlink=1","David Wallis","Back row","(1997-04-17)17 April 1997 (aged 26)",20,NA,"Portugal","Belenenses",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Jo%C3%A3o_Bello&action=edit&redlink=1","João Bello","Scrum-half","(1995-08-02)2 August 1995 (aged 28)",25,NA,"Portugal","CDUP",NA,NA,NA
NA,"https://en.wikipedia.org/wiki/Pedro_Lucas_(rugby_union)","Pedro Lucas","Scrum-half","(2000-10-16)16 October 2000 (aged 22)",17,NA,"Portugal","Técnico",NA,NA,NA
"Condom, Gers, France","https://en.wikipedia.org/wiki/Samuel_Marques","Samuel Marques","Scrum-half","(1988-12-08)8 December 1988 (aged 34)",22,NA,"Portugal","Béziers","France",43.9564563,0.3745929
NA,"https://en.wikipedia.org/w/index.php?title=Joris_Moura&action=edit&redlink=1","Joris Moura","Fly-half","(2000-05-07)7 May 2000 (aged 23)",1,NA,"Portugal","Valence Romans",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Jer%C3%B3nimo_Portela&action=edit&redlink=1","Jerónimo Portela","Fly-half","(2000-11-02)2 November 2000 (aged 22)",25,NA,"Portugal","Direito",NA,NA,NA
"Lisbon, Portugal","https://en.wikipedia.org/wiki/Tom%C3%A1s_Appleton","Tomás Appleton (c)","Centre","(1993-07-29)29 July 1993 (aged 30)",62,NA,"Portugal","CDUL","Portugal",38.7077507,-9.1365919
"Porto, Portugal","https://en.wikipedia.org/wiki/Pedro_Bettencourt","Pedro Bettencourt","Centre","(1994-11-18)18 November 1994 (aged 28)",30,NA,"Portugal","Oyonnax","Portugal",41.1494512,-8.6107884
"Coimbra, Portugal","https://en.wikipedia.org/wiki/Jos%C3%A9_Lima_(rugby_union)","José Lima","Centre","(1992-04-24)24 April 1992 (aged 31)",55,NA,"Portugal","Narbonne","Portugal",40.2111931,-8.4294632
"Portugal","https://en.wikipedia.org/wiki/Rodrigo_Marta","Rodrigo Marta","Wing","(1999-11-18)18 November 1999 (aged 23)",31,NA,"Portugal","Colomiers","Portugal",39.6621648,-8.1353519
NA,"https://en.wikipedia.org/w/index.php?title=Vincent_Pinto&action=edit&redlink=1","Vincent Pinto","Wing","(1999-04-10)10 April 1999 (aged 24)",14,NA,"Portugal","Colomiers",NA,NA,NA
NA,"https://en.wikipedia.org/w/index.php?title=Manuel_Cardoso_Pinto&action=edit&redlink=1","Manuel Cardoso Pinto","Wing","(1998-04-07)7 April 1998 (aged 25)",30,NA,"Portugal","Agronomia",NA,NA,NA
"Portugal","https://en.wikipedia.org/wiki/Raffaele_Storti","Raffaele Storti","Wing","(2000-12-19)19 December 2000 (aged 22)",21,NA,"Portugal","Béziers","Portugal",39.6621648,-8.1353519
NA,"https://en.wikipedia.org/w/index.php?title=Sim%C3%A3o_Bento&action=edit&redlink=1","Simão Bento","Fullback","(2001-06-21)21 June 2001 (aged 22)",11,NA,"Portugal","Mont-de-Marsan",NA,NA,NA
"Porto, Portugal","https://en.wikipedia.org/wiki/Nuno_Sousa_Guedes","Nuno Sousa Guedes","Fullback","(1994-11-21)21 November 1994 (aged 28)",38,NA,"Portugal","CDUP","Portugal",41.1494512,-8.6107884
"London, England","https://en.wikipedia.org/wiki/Theo_Dan","Theo Dan","Hooker","(2000-12-26)26 December 2000 (aged 22)",3,NA,"England","Saracens","England",51.5073359,-0.12765
"Welwyn Garden City, England","https://en.wikipedia.org/wiki/Jamie_George","Jamie George","Hooker","(1990-10-20)20 October 1990 (aged 32)",79,NA,"England","Saracens","England",51.8031083,-0.2068872
